Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-05-08 08:36:00,  17.2,  17.5
2023-05-08 08:37:00,  17.2,  17.5
2023-05-08 08:38:00,  17.3,  17.6
2023-05-08 08:39:00,  17.1,  17.5
2023-05-08 08:40:00,  17.2,  17.6
2023-05-08 08:41:00,  17.0,  17.4
2023-05-08 08:42:00,  17.2,  17.6
2023-05-08 08:43:00,  17.0,  17.5
2023-05-08 08:44:00,  17.1,  17.6
2023-05-08 08:45:00,  16.9,  17.5
2023-05-08 08:46:00,  16.9,  17.6
2023-05-08 08:47:00,  17.0,  17.8
2023-05-08 08:48:00,  17.2,  18.0
2023-05-08 08:49:00,  17.3,  18.0
2023-05-08 08:50:00,  17.3,  17.9
2023-05-08 08:51:00,  17.5,  18.0
2023-05-08 08:52:00,  17.3,  17.7
2023-05-08 08:53:00,  17.5,  17.7
2023-05-08 08:54:00,  17.8,  17.7
2023-05-08 08:55:00,  18.0,  17.7
2023-05-08 08:56:00,  18.3,  17.8
2023-05-08 08:57:00,  18.4,  17.7
2023-05-08 08:58:00,  18.8,  17.8
2023-05-08 08:59:00,  18.9,  17.9
2023-05-08 09:00:00,  18.6,  17.8
2023-05-08 09:01:00,  17.9,  17.7
2023-05-08 09:02:00,  17.7,  17.8
2023-05-08 09:03:00,  17.7,  17.9
2023-05-08 09:04:00,  17.5,  17.8
2023-05-08 09:05:00,  17.8,  18.0
2023-05-08 09:06:00,  17.7,  18.0
2023-05-08 09:07:00,  17.5,  17.9
2023-05-08 09:08:00,  17.3,  17.8
2023-05-08 09:09:00,  17.4,  17.8
2023-05-08 09:10:00,  17.2,  17.8
2023-05-08 09:11:00,  17.3,  17.8
2023-05-08 09:12:00,  17.2,  17.6
2023-05-08 09:13:00,  17.2,  17.5
2023-05-08 09:14:00,  17.6,  17.7
2023-05-08 09:15:00,  17.8,  17.7
2023-05-08 09:16:00,  18.0,  17.6
2023-05-08 09:17:00,  18.1,  17.4
2023-05-08 09:18:00,  18.5,  17.6
2023-05-08 09:19:00,  18.7,  17.5
2023-05-08 09:20:00,  19.0,  17.6
2023-05-08 09:21:00,  18.7,  17.4
2023-05-08 09:22:00,  18.4,  17.4
2023-05-08 09:23:00,  17.9,  17.4
2023-05-08 09:24:00,  17.6,  17.3
2023-05-08 09:25:00,  17.5,  17.5
2023-05-08 09:26:00,  17.3,  17.6
2023-05-08 09:27:00,  17.0,  17.6
2023-05-08 09:28:00,  16.6,  17.5
2023-05-08 09:29:00,  16.3,  17.4
2023-05-08 09:30:00,  16.3,  17.5
2023-05-08 09:31:00,  16.0,  17.4
2023-05-08 09:32:00,  15.8,  17.3
2023-05-08 09:33:00,  15.9,  17.3
2023-05-08 09:34:00,  16.0,  17.3
2023-05-08 09:35:00,  16.2,  17.3
2023-05-08 09:36:00,  16.7,  17.4
2023-05-08 09:37:00,  16.8,  17.3
2023-05-08 09:38:00,  16.9,  17.2
2023-05-08 09:39:00,  17.1,  17.2
2023-05-08 09:40:00,  17.4,  17.2
2023-05-08 09:41:00,  17.8,  17.2
2023-05-08 09:42:00,  18.1,  17.2
2023-05-08 09:43:00,  18.4,  17.1
2023-05-08 09:44:00,  18.6,  17.1
2023-05-08 09:45:00,  18.6,  17.1
2023-05-08 09:46:00,  18.6,  17.0
2023-05-08 09:47:00,  18.7,  17.0
2023-05-08 09:48:00,  18.5,  17.0
2023-05-08 09:49:00,  18.7,  17.2
2023-05-08 09:50:00,  18.3,  16.9
2023-05-08 09:51:00,  18.3,  16.9
2023-05-08 09:52:00,  18.5,  17.0
2023-05-08 09:53:00,  18.6,  17.1
2023-05-08 09:54:00,  18.3,  16.9
2023-05-08 09:55:00,  18.4,  16.9
2023-05-08 09:56:00,  18.4,  16.9
2023-05-08 09:57:00,  18.5,  17.0
2023-05-08 09:58:00,  18.7,  17.1
2023-05-08 09:59:00,  18.5,  17.0
2023-05-08 10:00:00,  18.6,  17.2
2023-05-08 10:01:00,  18.5,  17.2
2023-05-08 10:02:00,  18.7,  17.5
2023-05-08 10:03:00,  18.7,  17.6
2023-05-08 10:04:00,  18.5,  17.4
2023-05-08 10:05:00,  18.9,  17.7
2023-05-08 10:06:00,  18.7,  17.6
2023-05-08 10:07:00,  18.6,  17.6
2023-05-08 10:08:00,  18.7,  17.6
2023-05-08 10:09:00,  18.7,  17.9
2023-05-08 10:10:00,  18.2,  17.8
2023-05-08 10:11:00,  17.7,  18.0
2023-05-08 10:12:00,  16.9,  17.8
2023-05-08 10:13:00,  16.6,  18.1
2023-05-08 10:14:00,  16.0,  18.0
2023-05-08 10:15:00,  15.8,  18.0
2023-05-08 10:16:00,  15.9,  18.0
2023-05-08 10:17:00,  16.4,  18.2
2023-05-08 10:18:00,  16.4,  18.0
2023-05-08 10:19:00,  16.6,  18.0
2023-05-08 10:20:00,  16.8,  18.0
2023-05-08 10:21:00,  17.0,  18.0
2023-05-08 10:22:00,  17.2,  18.1
2023-05-08 10:23:00,  17.4,  18.2
2023-05-08 10:24:00,  17.4,  18.1
2023-05-08 10:25:00,  17.7,  18.1
2023-05-08 10:26:00,  17.7,  18.0
2023-05-08 10:27:00,  17.8,  18.0
2023-05-08 10:28:00,  17.9,  17.9
2023-05-08 10:29:00,  18.2,  18.0
2023-05-08 10:30:00,  18.1,  17.9
2023-05-08 10:31:00,  18.4,  18.0
2023-05-08 10:32:00,  18.6,  18.0
2023-05-08 10:33:00,  18.7,  18.0
2023-05-08 10:34:00,  18.7,  17.8
2023-05-08 10:35:00,  18.7,  18.1
2023-05-08 10:36:00,  18.2,  18.1
2023-05-08 10:37:00,  17.7,  18.1
2023-05-08 10:38:00,  17.0,  17.9
2023-05-08 10:39:00,  16.6,  17.9
2023-05-08 10:40:00,  16.5,  18.1
2023-05-08 10:41:00,  16.1,  18.0
2023-05-08 10:42:00,  16.0,  17.9
2023-05-08 10:43:00,  16.2,  18.1
2023-05-08 10:44:00,  16.3,  17.9
2023-05-08 10:45:00,  16.4,  17.8
2023-05-08 10:46:00,  16.8,  18.0
2023-05-08 10:47:00,  16.9,  17.8
2023-05-08 10:48:00,  17.1,  17.8
2023-05-08 10:49:00,  17.5,  18.0
2023-05-08 10:50:00,  17.4,  17.8
2023-05-08 10:51:00,  17.6,  17.8
2023-05-08 10:52:00,  18.0,  18.0
2023-05-08 10:53:00,  18.1,  18.1
2023-05-08 10:54:00,  18.1,  18.1
2023-05-08 10:55:00,  18.4,  18.4
2023-05-08 10:56:00,  18.4,  18.5
2023-05-08 10:57:00,  18.2,  18.4
2023-05-08 10:58:00,  18.2,  18.6
2023-05-08 10:59:00,  18.3,  18.6
2023-05-08 11:00:00,  18.2,  18.5
2023-05-08 11:01:00,  18.6,  18.6
2023-05-08 11:02:00,  18.7,  18.5
2023-05-08 11:03:00,  18.8,  18.4
2023-05-08 11:04:00,  18.6,  18.3
2023-05-08 11:05:00,  18.5,  18.5
2023-05-08 11:06:00,  18.0,  18.4
2023-05-08 11:07:00,  17.8,  18.4
2023-05-08 11:08:00,  17.1,  18.2
2023-05-08 11:09:00,  17.0,  18.3
2023-05-08 11:10:00,  16.7,  18.3
2023-05-08 11:11:00,  16.3,  18.2
2023-05-08 11:12:00,  16.3,  18.3
2023-05-08 11:13:00,  16.2,  18.1
2023-05-08 11:14:00,  16.7,  18.3
2023-05-08 11:15:00,  16.6,  18.0
2023-05-08 11:16:00,  16.9,  18.1
2023-05-08 11:17:00,  17.0,  18.1
2023-05-08 11:18:00,  17.1,  18.1
2023-05-08 11:19:00,  17.5,  18.4
2023-05-08 11:20:00,  17.3,  18.3
2023-05-08 11:21:00,  17.3,  18.2
2023-05-08 11:22:00,  17.3,  18.3
2023-05-08 11:23:00,  17.3,  18.3
2023-05-08 11:24:00,  17.2,  18.4
2023-05-08 11:25:00,  17.1,  18.4
2023-05-08 11:26:00,  17.1,  18.4
2023-05-08 11:27:00,  17.0,  18.4
2023-05-08 11:28:00,  17.0,  18.4
2023-05-08 11:29:00,  17.2,  18.5
2023-05-08 11:30:00,  17.0,  18.5
2023-05-08 11:31:00,  16.8,  18.4
2023-05-08 11:32:00,  16.8,  18.4
2023-05-08 11:33:00,  16.9,  18.4
2023-05-08 11:34:00,  17.0,  18.4
2023-05-08 11:35:00,  17.1,  18.3
2023-05-08 11:36:00,  17.4,  18.4
2023-05-08 11:37:00,  17.4,  18.4
2023-05-08 11:38:00,  17.4,  18.4
2023-05-08 11:39:00,  17.5,  18.4
2023-05-08 11:40:00,  17.3,  18.2
