Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-09-05 09:07:00,  28.3,  32.3
2023-09-05 09:08:00,  28.4,  32.2
2023-09-05 09:09:00,  28.2,  32.2
2023-09-05 09:10:00,  28.4,  32.5
2023-09-05 09:11:00,  27.7,  32.1
2023-09-05 09:12:00,  28.0,  32.3
2023-09-05 09:13:00,  27.9,  32.2
2023-09-05 09:14:00,  27.7,  32.3
2023-09-05 09:15:00,  27.9,  32.6
2023-09-05 09:16:00,  27.6,  32.5
2023-09-05 09:17:00,  27.5,  32.4
2023-09-05 09:18:00,  27.6,  32.4
2023-09-05 09:19:00,  28.3,  32.7
2023-09-05 09:20:00,  28.2,  32.5
2023-09-05 09:21:00,  28.4,  32.5
2023-09-05 09:22:00,  28.5,  32.5
2023-09-05 09:23:00,  28.8,  32.6
2023-09-05 09:24:00,  28.7,  32.5
2023-09-05 09:25:00,  29.3,  32.9
2023-09-05 09:26:00,  29.4,  32.8
2023-09-05 09:27:00,  29.0,  32.3
2023-09-05 09:28:00,  29.5,  32.6
2023-09-05 09:29:00,  29.2,  32.2
2023-09-05 09:30:00,  29.5,  32.3
2023-09-05 09:31:00,  29.7,  32.5
2023-09-05 09:32:00,  29.7,  32.6
2023-09-05 09:33:00,  29.2,  32.3
2023-09-05 09:34:00,  29.5,  32.6
2023-09-05 09:35:00,  29.2,  32.7
2023-09-05 09:36:00,  28.7,  32.6
2023-09-05 09:37:00,  28.4,  32.6
2023-09-05 09:38:00,  28.1,  32.4
2023-09-05 09:39:00,  28.7,  32.8
2023-09-05 09:40:00,  28.3,  32.4
2023-09-05 09:41:00,  28.6,  32.5
2023-09-05 09:42:00,  28.8,  32.6
2023-09-05 09:43:00,  28.7,  32.3
2023-09-05 09:44:00,  28.7,  32.2
2023-09-05 09:45:00,  29.0,  32.3
2023-09-05 09:46:00,  28.8,  32.1
2023-09-05 09:47:00,  28.7,  31.9
2023-09-05 09:48:00,  28.8,  32.0
2023-09-05 09:49:00,  29.1,  32.2
2023-09-05 09:50:00,  28.5,  31.7
2023-09-05 09:51:00,  28.9,  32.0
2023-09-05 09:52:00,  28.3,  31.6
2023-09-05 09:53:00,  28.7,  31.9
2023-09-05 09:54:00,  28.2,  31.6
2023-09-05 09:55:00,  28.4,  31.8
2023-09-05 09:56:00,  28.3,  31.6
2023-09-05 09:57:00,  28.6,  31.7
2023-09-05 09:58:00,  28.8,  31.8
2023-09-05 09:59:00,  28.7,  31.6
2023-09-05 10:00:00,  28.6,  31.6
2023-09-05 10:01:00,  28.4,  31.5
2023-09-05 10:02:00,  28.5,  31.6
2023-09-05 10:03:00,  28.7,  31.8
2023-09-05 10:04:00,  28.7,  31.9
2023-09-05 10:05:00,  28.9,  32.1
2023-09-05 10:06:00,  28.9,  32.2
2023-09-05 10:07:00,  29.0,  32.2
2023-09-05 10:08:00,  29.1,  32.2
2023-09-05 10:09:00,  28.8,  32.0
2023-09-05 10:10:00,  28.5,  31.9
2023-09-05 10:11:00,  28.9,  32.3
2023-09-05 10:12:00,  28.3,  32.1
2023-09-05 10:13:00,  27.9,  32.0
2023-09-05 10:14:00,  27.8,  32.0
2023-09-05 10:15:00,  28.2,  32.3
2023-09-05 10:16:00,  28.5,  32.5
2023-09-05 10:17:00,  28.6,  32.3
2023-09-05 10:18:00,  29.0,  32.4
2023-09-05 10:19:00,  29.0,  32.3
2023-09-05 10:20:00,  28.9,  32.2
2023-09-05 10:21:00,  29.4,  32.6
2023-09-05 10:22:00,  28.9,  32.2
2023-09-05 10:23:00,  29.0,  32.3
2023-09-05 10:24:00,  29.4,  32.7
2023-09-05 10:25:00,  28.9,  32.4
2023-09-05 10:26:00,  29.2,  32.7
2023-09-05 10:27:00,  28.5,  32.3
2023-09-05 10:28:00,  28.7,  32.6
2023-09-05 10:29:00,  28.2,  32.2
2023-09-05 10:30:00,  28.3,  32.5
2023-09-05 10:31:00,  28.2,  32.4
2023-09-05 10:32:00,  28.0,  32.1
2023-09-05 10:33:00,  28.3,  32.3
2023-09-05 10:34:00,  28.6,  32.3
2023-09-05 10:35:00,  28.3,  31.9
2023-09-05 10:36:00,  28.5,  31.9
2023-09-05 10:37:00,  29.1,  32.2
2023-09-05 10:38:00,  28.7,  31.8
2023-09-05 10:39:00,  28.8,  31.9
2023-09-05 10:40:00,  28.7,  31.8
2023-09-05 10:41:00,  28.5,  31.7
2023-09-05 10:42:00,  28.3,  31.5
2023-09-05 10:43:00,  28.7,  31.8
2023-09-05 10:44:00,  28.5,  31.5
2023-09-05 10:45:00,  28.9,  31.7
2023-09-05 10:46:00,  28.5,  31.2
2023-09-05 10:47:00,  28.9,  31.5
2023-09-05 10:48:00,  28.5,  31.1
2023-09-05 10:49:00,  28.5,  31.1
2023-09-05 10:50:00,  28.9,  31.4
2023-09-05 10:51:00,  28.8,  31.4
2023-09-05 10:52:00,  28.6,  31.4
2023-09-05 10:53:00,  28.5,  31.4
2023-09-05 10:54:00,  27.8,  31.1
2023-09-05 10:55:00,  28.0,  31.2
2023-09-05 10:56:00,  28.5,  31.5
2023-09-05 10:57:00,  28.5,  31.4
2023-09-05 10:58:00,  27.8,  31.4
2023-09-05 10:59:00,  27.6,  31.3
2023-09-05 11:00:00,  27.6,  31.3
2023-09-05 11:01:00,  28.1,  31.8
2023-09-05 11:02:00,  28.2,  31.8
2023-09-05 11:03:00,  28.2,  31.6
2023-09-05 11:04:00,  28.0,  31.3
2023-09-05 11:05:00,  28.2,  31.5
2023-09-05 11:06:00,  28.2,  31.4
2023-09-05 11:07:00,  28.4,  31.5
2023-09-05 11:08:00,  28.5,  31.5
2023-09-05 11:09:00,  28.4,  31.5
2023-09-05 11:10:00,  28.1,  31.3
2023-09-05 11:11:00,  28.2,  31.2
2023-09-05 11:12:00,  28.6,  31.4
2023-09-05 11:13:00,  27.7,  31.0
2023-09-05 11:14:00,  28.0,  31.3
2023-09-05 11:15:00,  27.6,  31.1
2023-09-05 11:16:00,  27.7,  31.1
2023-09-05 11:17:00,  28.1,  31.4
2023-09-05 11:18:00,  27.7,  31.4
2023-09-05 11:19:00,  27.9,  31.6
2023-09-05 11:20:00,  27.5,  31.2
2023-09-05 11:21:00,  28.0,  31.6
2023-09-05 11:22:00,  27.9,  31.4
2023-09-05 11:23:00,  28.2,  31.6
2023-09-05 11:24:00,  28.3,  31.6
2023-09-05 11:25:00,  28.3,  31.6
2023-09-05 11:26:00,  28.2,  31.5
2023-09-05 11:27:00,  28.7,  31.8
2023-09-05 11:28:00,  28.5,  31.7
2023-09-05 11:29:00,  28.6,  31.5
