Time,MTìfèoà≥óÕ,LTìfèoà≥óÕ,MTìfèoâ∑ìx,â∑êÖéÊèoâ∑ìx,â∑êÖó¨ó 
2023-06-22 14:09:00,   6.03,   1.98, 105.9,  80.7,  -1.8
2023-06-22 14:10:00,   5.81,   2.19, 104.9,  73.5,  -0.1
2023-06-22 14:11:00,   5.66,   2.30, 103.5,  55.0,   0.0
2023-06-22 14:12:00,   5.85,   2.28, 101.2,  35.2,  -1.0
2023-06-22 14:13:00,   5.98,   2.37,  99.6,  30.0,  -2.0
2023-06-22 14:14:00,   6.03,   2.34,  97.6,  50.4,  -2.2
2023-06-22 14:15:00,   6.00,   2.43,  97.2,  59.5,  -2.3
2023-06-22 14:16:00,   6.24,   2.11,  96.5,  66.0,  -2.0
2023-06-22 14:17:00,   6.09,   2.12,  97.2,  77.7,  -0.6
2023-06-22 14:18:00,   6.07,   2.22,  99.7,  81.8,  -1.2
2023-06-22 14:19:00,   6.13,   2.31, 100.6,  83.0,  -0.6
2023-06-22 14:20:00,   6.03,   2.32, 100.2,  89.5,  -0.2
2023-06-22 14:21:00,   6.00,   2.25,  99.5,  88.7,  -0.3
2023-06-22 14:22:00,   6.01,   2.19,  99.4,  86.6,  -0.2
2023-06-22 14:23:00,   6.11,   2.19,  99.9,  83.8,  -0.8
2023-06-22 14:24:00,   6.13,   2.29, 100.7,  84.3,  -2.0
2023-06-22 14:25:00,   6.13,   2.34, 100.7,  87.1,   0.1
2023-06-22 14:26:00,   6.11,   2.31,  99.7,  88.8,  -1.4
2023-06-22 14:27:00,   6.07,   2.26,  99.3,  90.3,  -2.1
2023-06-22 14:28:00,   6.11,   2.21,  99.3,  92.1,  -1.1
2023-06-22 14:29:00,   6.01,   1.96, 100.0,  93.1,  -1.0
2023-06-22 14:30:00,   6.01,   1.97, 100.6,  91.7,  -1.3
2023-06-22 14:31:00,   5.94,   1.78, 100.7,  85.7,  -1.6
2023-06-22 14:32:00,   5.68,   1.82,  99.3,  65.6,  -1.1
2023-06-22 14:33:00,   5.75,   1.83,  97.3,  42.2,  -1.6
2023-06-22 14:34:00,   6.00,   1.93,  95.1,  32.7,  -2.4
2023-06-22 14:35:00,   5.66,   1.80,  93.9,  38.2,  -2.4
2023-06-22 14:36:00,   5.83,   1.89,  92.1,  40.7,  -2.4
2023-06-22 14:37:00,   5.94,   2.22,  92.2,  36.1,  -2.4
2023-06-22 14:38:00,   6.00,   2.33,  94.6,  41.6,  -2.4
2023-06-22 14:39:00,   6.13,   2.37,  95.9,  62.6,  -1.4
2023-06-22 14:40:00,   6.13,   2.40,  95.6,  72.5,  -1.1
2023-06-22 14:41:00,   6.13,   2.40,  93.1,  75.3,  -2.4
2023-06-22 14:42:00,   6.09,   2.40,  91.1,  81.8,  -2.0
2023-06-22 14:43:00,   6.07,   2.40,  91.8,  85.4,  -2.4
2023-06-22 14:44:00,   6.05,   2.34,  92.8,  87.7,  -2.4
2023-06-22 14:45:00,   6.11,   2.28,  93.8,  89.1,  -0.3
2023-06-22 14:46:00,   6.09,   2.24,  95.1,  90.8,  -0.7
2023-06-22 14:47:00,   6.15,   2.21,  96.5,  88.3,  -0.6
2023-06-22 14:48:00,   6.16,   2.19,  98.1,  85.6,  -1.8
2023-06-22 14:49:00,   6.18,   2.20,  99.2,  85.0,  -0.3
