Time,MTìfèoà≥óÕ,LTìfèoà≥óÕ,MTìfèoâ∑ìx,â∑êÖéÊèoâ∑ìx,â∑êÖó¨ó 
2023-03-20 07:03:00,   4.65,   1.89,  16.4,  13.7,  -2.4
2023-03-20 07:04:00,   5.53,   3.15,  22.3,  13.7,  -2.4
2023-03-20 07:05:00,   5.38,   2.32,  49.3,  13.7,  -2.4
2023-03-20 07:06:00,   5.49,   2.21,  64.9,  13.7,  -2.4
2023-03-20 07:07:00,   5.62,   2.15,  73.8,  13.7,  -2.4
2023-03-20 07:08:00,   5.88,   2.31,  77.8,  13.7,  -2.4
2023-03-20 07:09:00,   6.03,   2.49,  80.1,  13.7,  -2.4
2023-03-20 07:10:00,   6.18,   2.31,  83.6,  13.7,  -2.4
2023-03-20 07:11:00,   6.20,   2.28,  87.2,  13.7,  -2.4
2023-03-20 07:12:00,   6.26,   2.25,  90.2,  13.7,  -2.4
2023-03-20 07:13:00,   6.33,   2.34,  92.6,  13.6,  -2.4
2023-03-20 07:14:00,   6.16,   2.26,  93.7,  25.1,  -2.4
2023-03-20 07:15:00,   6.05,   2.25,  94.4,  56.5,  -2.4
2023-03-20 07:16:00,   6.03,   2.23,  94.7,  56.6,  -2.4
2023-03-20 07:17:00,   5.96,   2.25,  95.2,  71.8,  -2.4
2023-03-20 07:18:00,   5.92,   2.22,  95.2,  78.3,  -2.4
2023-03-20 07:19:00,   5.85,   2.19,  95.2,  76.4,  -2.4
2023-03-20 07:20:00,   5.83,   2.17,  95.7,  76.5,  -2.4
2023-03-20 07:21:00,   5.85,   2.22,  96.1,  74.3,  -2.4
2023-03-20 07:22:00,   5.79,   2.22,  95.8,  72.4,  -2.4
2023-03-20 07:23:00,   5.51,   1.94,  95.5,  72.1,  -2.4
2023-03-20 07:24:00,   5.21,   2.04,  94.6,  74.4,  -2.4
2023-03-20 07:25:00,   5.23,   2.68,  91.2,  73.0,  -2.4
2023-03-20 07:26:00,   5.45,   1.92,  89.6,  72.6,  -2.4
2023-03-20 07:27:00,   5.73,   2.31,  88.1,  73.6,  -2.4
2023-03-20 07:28:00,   5.68,   2.41,  88.7,  73.0,  -2.4
2023-03-20 07:29:00,   5.64,   2.37,  88.4,  72.5,  -2.4
2023-03-20 07:30:00,   5.73,   2.35,  88.2,  70.7,  -2.4
2023-03-20 07:31:00,   5.73,   2.13,  88.9,  70.1,  -2.4
2023-03-20 07:32:00,   5.60,   2.27,  90.8,  69.6,  -2.4
2023-03-20 07:33:00,   5.56,   2.06,  89.6,  69.1,  -2.4
2023-03-20 07:34:00,   5.81,   2.01,  88.9,  68.2,  -2.4
2023-03-20 07:35:00,   5.81,   2.19,  89.5,  67.7,  -2.4
2023-03-20 07:36:00,   5.81,   2.19,  89.8,  67.4,  -2.4
2023-03-20 07:37:00,   5.77,   2.26,  90.7,  79.9,  -2.4
2023-03-20 07:38:00,   5.79,   2.28,  90.7,  83.0,  -2.4
2023-03-20 07:39:00,   5.79,   2.30,  90.6,  82.2,  -2.4
2023-03-20 07:40:00,   5.68,   2.31,  90.0,  83.0,  -2.3
2023-03-20 07:41:00,   5.66,   2.26,  89.4,  86.5,  -2.4
