Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-05-22 08:37:00,  22.6,  21.8
2023-05-22 08:38:00,  23.1,  22.1
2023-05-22 08:39:00,  23.3,  22.2
2023-05-22 08:40:00,  23.3,  22.1
2023-05-22 08:41:00,  23.2,  22.0
2023-05-22 08:42:00,  23.3,  22.0
2023-05-22 08:43:00,  23.4,  22.1
2023-05-22 08:44:00,  23.6,  22.4
2023-05-22 08:45:00,  23.6,  22.4
2023-05-22 08:46:00,  23.5,  22.4
2023-05-22 08:47:00,  23.2,  22.3
2023-05-22 08:48:00,  23.2,  22.4
2023-05-22 08:49:00,  23.2,  22.4
2023-05-22 08:50:00,  22.8,  22.1
2023-05-22 08:51:00,  22.8,  22.1
2023-05-22 08:52:00,  22.8,  22.1
2023-05-22 08:53:00,  22.7,  22.1
2023-05-22 08:54:00,  22.5,  21.9
2023-05-22 08:55:00,  22.5,  21.9
2023-05-22 08:56:00,  22.7,  22.0
2023-05-22 08:57:00,  22.8,  22.1
2023-05-22 08:58:00,  22.3,  21.7
2023-05-22 08:59:00,  22.3,  21.8
2023-05-22 09:00:00,  22.6,  22.1
2023-05-22 09:01:00,  22.2,  21.7
2023-05-22 09:02:00,  22.5,  22.0
2023-05-22 09:03:00,  22.3,  21.8
2023-05-22 09:04:00,  22.4,  21.9
2023-05-22 09:05:00,  22.4,  21.9
2023-05-22 09:06:00,  22.3,  22.1
2023-05-22 09:07:00,  22.1,  21.8
2023-05-22 09:08:00,  22.4,  22.0
2023-05-22 09:09:00,  22.3,  22.0
2023-05-22 09:10:00,  22.2,  21.9
2023-05-22 09:11:00,  22.5,  22.2
2023-05-22 09:12:00,  22.4,  22.0
2023-05-22 09:13:00,  22.5,  21.8
2023-05-22 09:14:00,  22.6,  22.1
2023-05-22 09:15:00,  22.5,  22.1
2023-05-22 09:16:00,  22.5,  22.1
2023-05-22 09:17:00,  22.1,  21.8
2023-05-22 09:18:00,  22.5,  22.1
2023-05-22 09:19:00,  22.8,  22.3
2023-05-22 09:20:00,  22.9,  22.3
2023-05-22 09:21:00,  23.1,  22.3
2023-05-22 09:22:00,  23.0,  22.2
2023-05-22 09:23:00,  23.5,  22.6
2023-05-22 09:24:00,  23.3,  22.4
2023-05-22 09:25:00,  23.7,  22.8
2023-05-22 09:26:00,  23.8,  22.9
2023-05-22 09:27:00,  23.5,  22.7
2023-05-22 09:28:00,  23.5,  22.8
2023-05-22 09:29:00,  23.6,  23.0
2023-05-22 09:30:00,  23.5,  23.0
2023-05-22 09:31:00,  23.1,  22.8
2023-05-22 09:32:00,  22.8,  22.7
2023-05-22 09:33:00,  23.0,  22.9
2023-05-22 09:34:00,  22.8,  22.8
2023-05-22 09:35:00,  22.9,  22.8
2023-05-22 09:36:00,  22.7,  22.6
2023-05-22 09:37:00,  22.8,  22.6
2023-05-22 09:38:00,  22.9,  22.7
2023-05-22 09:39:00,  23.0,  22.7
2023-05-22 09:40:00,  23.0,  22.7
2023-05-22 09:41:00,  22.8,  22.5
2023-05-22 09:42:00,  22.8,  22.6
2023-05-22 09:43:00,  22.6,  22.5
2023-05-22 09:44:00,  22.3,  22.2
2023-05-22 09:45:00,  22.5,  22.4
2023-05-22 09:46:00,  22.3,  22.4
2023-05-22 09:47:00,  22.4,  22.5
2023-05-22 09:48:00,  22.3,  22.5
2023-05-22 09:49:00,  22.3,  22.5
2023-05-22 09:50:00,  22.4,  22.5
2023-05-22 09:51:00,  22.6,  22.6
2023-05-22 09:52:00,  22.7,  22.5
2023-05-22 09:53:00,  23.0,  22.6
2023-05-22 09:54:00,  23.3,  22.9
2023-05-22 09:55:00,  23.3,  22.9
2023-05-22 09:56:00,  23.3,  23.0
2023-05-22 09:57:00,  23.2,  22.9
2023-05-22 09:58:00,  22.7,  22.6
2023-05-22 09:59:00,  22.6,  22.5
2023-05-22 10:00:00,  22.5,  22.4
2023-05-22 10:01:00,  22.8,  22.6
2023-05-22 10:02:00,  22.7,  22.4
2023-05-22 10:03:00,  22.6,  22.3
2023-05-22 10:04:00,  22.7,  22.3
2023-05-22 10:05:00,  22.3,  21.9
2023-05-22 10:06:00,  22.7,  22.1
2023-05-22 10:07:00,  22.7,  22.1
2023-05-22 10:08:00,  22.6,  21.9
2023-05-22 10:09:00,  22.4,  21.7
2023-05-22 10:10:00,  22.4,  21.7
2023-05-22 10:11:00,  22.5,  21.8
2023-05-22 10:12:00,  22.4,  21.8
2023-05-22 10:13:00,  21.9,  21.5
2023-05-22 10:14:00,  22.0,  21.7
2023-05-22 10:15:00,  22.1,  21.9
2023-05-22 10:16:00,  21.9,  21.6
2023-05-22 10:17:00,  22.2,  21.7
2023-05-22 10:18:00,  22.4,  21.7
2023-05-22 10:19:00,  22.6,  21.7
2023-05-22 10:20:00,  23.2,  22.0
2023-05-22 10:21:00,  23.1,  21.9
2023-05-22 10:22:00,  23.3,  21.9
2023-05-22 10:23:00,  23.4,  21.9
2023-05-22 10:24:00,  23.6,  22.1
2023-05-22 10:25:00,  23.4,  22.0
2023-05-22 10:26:00,  23.4,  22.0
2023-05-22 10:27:00,  23.7,  22.3
2023-05-22 10:28:00,  23.8,  22.4
2023-05-22 10:29:00,  23.7,  22.3
2023-05-22 10:30:00,  23.6,  22.2
2023-05-22 10:31:00,  23.9,  22.5
2023-05-22 10:32:00,  23.9,  22.5
2023-05-22 10:33:00,  23.5,  22.3
2023-05-22 10:34:00,  23.4,  22.3
2023-05-22 10:35:00,  23.4,  22.3
2023-05-22 10:36:00,  23.8,  22.6
2023-05-22 10:37:00,  23.5,  22.3
2023-05-22 10:38:00,  23.6,  22.4
2023-05-22 10:39:00,  23.5,  22.3
2023-05-22 10:40:00,  23.4,  22.3
2023-05-22 10:41:00,  23.5,  22.4
2023-05-22 10:42:00,  23.3,  22.2
2023-05-22 10:43:00,  23.3,  22.2
2023-05-22 10:44:00,  23.5,  22.4
2023-05-22 10:45:00,  23.4,  22.3
2023-05-22 10:46:00,  23.3,  22.3
2023-05-22 10:47:00,  23.1,  22.2
2023-05-22 10:48:00,  23.0,  22.4
2023-05-22 10:49:00,  22.9,  22.4
2023-05-22 10:50:00,  22.8,  22.4
2023-05-22 10:51:00,  22.5,  22.4
2023-05-22 10:52:00,  22.3,  22.3
2023-05-22 10:53:00,  22.4,  22.4
2023-05-22 10:54:00,  22.7,  22.7
2023-05-22 10:55:00,  22.7,  22.7
2023-05-22 10:56:00,  22.8,  22.7
