Time,MTìfèoà≥óÕ,LTìfèoà≥óÕ,MTìfèoâ∑ìx,â∑êÖéÊèoâ∑ìx,â∑êÖó¨ó 
2023-10-30 14:39:00,   5.96,   2.19,  99.3,  94.5,  -1.0
2023-10-30 14:40:00,   5.94,   2.20,  99.6,  94.9,  -1.1
2023-10-30 14:41:00,   5.86,   2.20,  99.5,  95.2,   1.5
2023-10-30 14:42:00,   5.86,   2.16,  99.3,  95.5,  -1.7
2023-10-30 14:43:00,   5.83,   2.07,  99.2,  95.5,  -0.9
2023-10-30 14:44:00,   5.81,   1.98,  99.8,  95.2,  -2.4
2023-10-30 14:45:00,   5.66,   1.98, 100.3,  94.7,  -2.3
2023-10-30 14:46:00,   5.71,   2.10,  99.1,  94.3,  -2.4
2023-10-30 14:47:00,   5.30,   2.28,  97.0,  93.9,  -2.4
2023-10-30 14:48:00,   5.40,   2.28,  94.8,  93.6,  -2.4
2023-10-30 14:49:00,   5.71,   1.82,  93.0,  92.5,  -2.4
2023-10-30 14:50:00,   5.79,   1.91,  92.4,  90.8,  -2.1
2023-10-30 14:51:00,   5.86,   2.07,  93.4,  88.8,  -1.8
2023-10-30 14:52:00,   5.73,   2.19,  94.9,  88.0,  -0.9
2023-10-30 14:53:00,   5.83,   2.21,  96.0,  88.6,  -2.0
2023-10-30 14:54:00,   5.88,   2.22,  96.7,  89.3,  -0.6
2023-10-30 14:55:00,   5.94,   2.27,  97.1,  90.6,  -0.3
2023-10-30 14:56:00,   5.96,   2.31,  97.1,  91.2,  -0.8
2023-10-30 14:57:00,   5.92,   2.31,  96.8,  91.7,   0.4
2023-10-30 14:58:00,   5.88,   2.30,  96.2,  91.7,  -1.0
2023-10-30 14:59:00,   5.88,   2.23,  95.7,  91.3,  -0.6
2023-10-30 15:00:00,   5.81,   2.19,  95.6,  91.1,  -1.6
2023-10-30 15:01:00,   5.83,   2.10,  95.6,  91.1,   1.8
2023-10-30 15:02:00,   5.85,   2.07,  96.0,  91.0,  -2.3
2023-10-30 15:03:00,   5.77,   2.02,  96.6,  90.7,  -2.4
2023-10-30 15:04:00,   5.47,   1.94,  97.1,  90.1,  -2.3
2023-10-30 15:05:00,   5.55,   1.78,  96.4,  89.9,  -2.2
2023-10-30 15:06:00,   5.34,   1.80,  95.2,  89.5,  -2.4
2023-10-30 15:07:00,   5.32,   2.54,  93.5,  88.8,  -2.4
2023-10-30 15:08:00,   5.45,   1.75,  92.5,  88.3,  -1.3
2023-10-30 15:09:00,   5.28,   1.96,  90.1,  85.0,  -2.4
2023-10-30 15:10:00,   5.28,   1.96,  88.4,  84.0,  -2.4
2023-10-30 15:11:00,   5.28,   1.97,  86.8,  83.4,  -1.9
2023-10-30 15:12:00,   5.90,   2.03,  85.2,  81.4,  -2.4
2023-10-30 15:13:00,   5.83,   2.01,  88.0,  77.1,  -2.3
2023-10-30 15:14:00,   5.81,   2.07,  92.2,  74.2,  -2.3
2023-10-30 15:15:00,   5.83,   2.09,  96.8,  75.3,  -1.6
2023-10-30 15:16:00,   5.81,   2.05,  98.9,  81.8,  -1.6
2023-10-30 15:17:00,   5.83,   1.95, 100.3,  88.3,  -2.2
2023-10-30 15:18:00,   5.86,   2.10, 101.0,  91.6,  -2.4
2023-10-30 15:19:00,   5.66,   2.12, 101.0,  93.3,  -2.3
2023-10-30 15:20:00,   5.71,   1.68,  99.8,  93.8,  -2.4
2023-10-30 15:21:00,   5.66,   1.93,  98.1,  93.2,  -0.9
2023-10-30 15:22:00,   5.58,   1.98,  96.0,  91.0,  -0.8
2023-10-30 15:23:00,   5.28,   1.70,  94.5,  85.9,  -0.8
2023-10-30 15:24:00,   5.26,   1.71,  92.7,  74.3,  -0.8
2023-10-30 15:25:00,   5.26,   1.71,  91.0,  59.7,  -1.4
2023-10-30 15:26:00,   5.28,   1.71,  89.1,  45.7,  -2.3
2023-10-30 15:27:00,   5.43,   1.70,  86.8,  39.2,  -2.4
2023-10-30 15:28:00,   5.81,   1.98,  86.0,  34.9,  -2.4
2023-10-30 15:29:00,   5.83,   2.03,  90.6,  32.8,  -2.4
2023-10-30 15:30:00,   5.83,   2.16,  96.3,  34.5,  -2.4
2023-10-30 15:31:00,   5.83,   2.21,  98.9,  40.5,  -2.3
2023-10-30 15:32:00,   5.86,   2.21,  99.7,  52.3,  -2.4
2023-10-30 15:33:00,   5.90,   2.17, 100.2,  59.4,  -2.3
2023-10-30 15:34:00,   5.90,   2.13, 100.8,  66.6,  -2.3
2023-10-30 15:35:00,   5.94,   2.10, 101.5,  71.8,  -2.3
2023-10-30 15:36:00,   5.94,   2.07, 102.3,  77.1,  -0.1
2023-10-30 15:37:00,   5.88,   2.01, 102.9,  78.5,  -2.3
2023-10-30 15:38:00,   5.73,   2.04, 103.3,  79.9,  -2.4
2023-10-30 15:39:00,   5.71,   2.55, 101.8,  82.2,  -2.4
2023-10-30 15:40:00,   5.36,   2.33,  99.3,  84.4,  -2.3
2023-10-30 15:41:00,   5.34,   2.33,  97.5,  85.4,  -2.4
